Case	Delta	Turn	DeltaLiveNodes	LiveNodes	DeltaLiveRatio	Full_FC_s	Inc_FC_s	Speedup
P12	inc0p1	del	9	1718	0.005238649592549476	0.009517747	0.00643	1.4802094867807154
P12	inc0p1	ins	26	1742	0.014925373134328358	0.00971217	0.006105694	1.5906742132835348
P12	inc0p3	del	97	1556	0.062339331619537273	0.008937293	0.005777364	1.5469499584931814
P12	inc0p3	ins	290	1742	0.16647531572904709	0.010363738	0.007498742	1.3820635514596982
P12	inc0p5	del	132	1472	0.08967391304347826	0.00833634	0.005567108	1.497427389588993
P12	inc0p5	ins	398	1742	0.22847301951779564	0.010641496	0.008307758	1.280910686132167
P13	inc0p1	del	21	4173	0.0050323508267433505	0.113960134	0.015204557	7.495130177090987
P13	inc0p1	ins	60	4226	0.01419782300047326	0.11575183	0.016150334	7.167147750628564
P13	inc0p3	del	191	3872	0.04932851239669422	0.114542563	0.015540115	7.370766754300081
P13	inc0p3	ins	585	4226	0.1384287742546143	0.118403986	0.01915182	6.182388201225784
P13	inc0p5	del	269	3653	0.07363810566657542	0.115511619	0.014308082	8.07317284035694
P13	inc0p5	ins	829	4226	0.19616658778987223	0.113159473	0.020802289	5.439760643648398
P14	inc0p1	del	254	7017	0.03619780532991307	0.24989708	0.022472513	11.120121723814332
P14	inc0p1	ins	735	7652	0.09605331939362258	0.251643313	0.029242792	8.605310771967327
P14	inc0p3	del	389	6604	0.05890369473046638	0.260237449	0.022419627	11.60757264159658
P14	inc0p3	ins	1136	7652	0.14845791949817042	0.262261062	0.031793907	8.248783705632654
P14	inc0p5	del	585	6074	0.09631215014817254	0.268412498	0.021200482	12.660679035504948
P14	inc0p5	ins	1696	7652	0.2216414009409305	0.249921499	0.034322762	7.281508958981798
P15	inc0p1	del	933	21886	0.042629991775564285	0.603067066	0.049409502	12.205487640818562
P15	inc0p1	ins	2620	26533	0.09874495910752648	0.590422437	0.078394091	7.531466076952151
P15	inc0p3	del	2286	15686	0.14573505036338136	0.635482725	0.046830513	13.569843341242068
P15	inc0p3	ins	6214	26533	0.23419892209701126	0.585252124	0.101631536	5.758568127908645
P15	inc0p5	del	3129	12699	0.24639735412237185	0.282781374	0.039211353	7.211721921454738
P15	inc0p5	ins	8622	26533	0.32495383107827985	0.58371717	0.11730997	4.975853032781442
P16	inc0p1	del	2356	52783	0.04463558342648201	1.072443243	0.112283975	9.551169194001192
P16	inc0p1	ins	6409	70248	0.0912339141327867	1.889380701	0.177486216	10.645224984682754
P16	inc0p3	del	5570	31566	0.17645568016219984	1.104857789	0.094249596	11.722679309946326
P16	inc0p3	ins	15399	70248	0.21920908780321147	1.860075835	0.261408159	7.115599765958338
P16	inc0p5	del	8087	19070	0.424069218668065	0.498562901	0.063938034	7.797595105911451
P16	inc0p5	ins	21734	70248	0.30938959116273773	1.866294312	0.324789514	5.746165536612737
P17	inc0p1	del	2400	113939	0.02106390261455691	2.885456027	0.162192924	17.790270721058093
P17	inc0p1	ins	6367	139899	0.04551140465621627	2.852782334	0.251392277	11.347931480011217
P17	inc0p3	del	7760	61336	0.12651623842441634	1.563792926	0.119515823	13.08440076591365
P17	inc0p3	ins	20914	139899	0.14949356321346113	2.781039145	0.422811147	6.577497222418311
P17	inc0p5	del	11517	35310	0.32616822429906545	0.732733385	0.08979309	8.160242452954899
P17	inc0p5	ins	30641	139978	0.21889868407892668	2.807156858	0.547094777	5.131024780373657
P18	inc0p1	del	5329	164013	0.032491326907013465	3.53106097	0.188411473	18.741220551892823
P18	inc0p1	ins	14413	246881	0.0583803532876163	3.499261807	0.402953145	8.684041433651052
P18	inc0p3	del	12276	80285	0.15290527495796227	2.217759684	0.131658645	16.844770687105278
P18	inc0p3	ins	32605	246881	0.13206767632989172	3.513743553	0.588495483	5.970723063306843
P18	inc0p5	del	16095	45014	0.35755542720042655	1.011787927	0.113489656	8.915243579555833
P18	inc0p5	ins	42105	246881	0.17054775377611076	3.484465986	0.708151234	4.9205110698147845
P19	inc0p1	del	8096	245431	0.03298686799955996	5.339266542	0.246406784	21.668504638248923
P19	inc0p1	ins	21658	395808	0.0547184493491794	9.155654795	0.705512223	12.977315624764165
P19	inc0p3	del	17105	110979	0.15412825849935574	3.208015166	0.177543405	18.068906395030556
P19	inc0p3	ins	45737	395808	0.11555350068720188	9.38031164	0.900839874	10.41285128548828
P19	inc0p5	del	21131	67273	0.3141081860478944	1.469537316	0.155782285	9.433276164873304
P19	inc0p5	ins	54924	395808	0.13876424933300993	9.177456242	0.997178946	9.203419585635736
P20	inc0p1	del	754	82116	0.009182132592917336	2.492233143	0.360048105	6.921944896779834
P20	inc0p1	ins	2631	84305	0.031208113397781862	2.551800507	0.491189131	5.195148560809665
P20	inc0p3	del	2989	73533	0.040648416357281766	2.338651128	0.321681579	7.270080976567203
P20	inc0p3	ins	10415	84305	0.12353952909080125	2.496885738	0.49804129	5.01341111296214
P20	inc0p5	del	4498	68908	0.06527543971672375	2.394507985	0.305645877	7.834255801199635
P20	inc0p5	ins	15898	84305	0.188577189965008	2.52539879	0.551465108	4.57943531397457
