Case	Delta	Turn	DeltaLiveNodes	LiveNodes	DeltaLiveRatio	InvDeltaLiveRatio	Full_FC_s	Inc_FC_s	FC_Speedup
P12	inc0p1	del	9	1720	0.005233	191.111111	0.010974	0.006553	1.675
P12	inc0p1	ins	26	1744	0.014908	67.076923	0.010721	0.008781	1.221
P12	inc0p3	del	97	1577	0.061509	16.257732	0.009362	0.007240	1.293
P12	inc0p3	ins	290	1762	0.164586	6.075862	0.010905	0.009412	1.159
P12	inc0p5	del	132	1502	0.087883	11.378788	0.008740	0.006398	1.366
P12	inc0p5	ins	398	1773	0.224478	4.454774	0.011117	0.010834	1.026
P13	inc0p1	del	21	4178	0.005026	198.952381	0.119868	0.020279	5.911
P13	inc0p1	ins	60	3824	0.015690	63.733333	0.122558	0.194095	0.631
P13	inc0p3	del	191	3912	0.048824	20.481675	0.120468	0.015153	7.950
P13	inc0p3	ins	585	4044	0.144659	6.912821	0.117971	0.225429	0.523
P13	inc0p5	del	269	3709	0.072526	13.788104	0.122414	0.018268	6.701
P13	inc0p5	ins	829	4173	0.198658	5.033776	0.119400	0.202273	0.590
P14	inc0p1	del	254	7069	0.035932	27.830709	0.270253	0.041149	6.568
P14	inc0p1	ins	735	7160	0.102654	9.741497	0.250988	0.323350	0.776
P14	inc0p3	del	389	6684	0.058199	17.182519	0.260793	0.027491	9.487
P14	inc0p3	ins	1136	6945	0.163571	6.113556	0.257288	0.270270	0.952
P14	inc0p5	del	585	6195	0.094431	10.589744	0.268954	0.024817	10.838
P14	inc0p5	ins	1696	7162	0.236805	4.222877	0.261207	0.278162	0.939
P15	inc0p1	del	933	22069	0.042276	23.653805	0.623979	0.063471	9.831
P15	inc0p1	ins	2620	26356	0.099408	10.059542	0.606106	0.773111	0.784
P15	inc0p3	del	2286	16133	0.141697	7.057305	0.602573	0.047922	12.574
P15	inc0p3	ins	6214	30967	0.200665	4.983425	0.581755	0.575849	1.010
P15	inc0p5	del	3129	13308	0.235122	4.253116	0.265133	0.036079	7.349
P15	inc0p5	ins	8622	31855	0.270664	3.694618	0.554832	0.533848	1.039
P16	inc0p1	del	2356	53243	0.044250	22.598896	1.043616	0.090812	11.492
P16	inc0p1	ins	6409	76198	0.084110	11.889218	1.949656	0.217665	8.957
P16	inc0p3	del	5570	32649	0.170602	5.861580	1.112335	0.084298	13.195
P16	inc0p3	ins	15399	82499	0.186657	5.357426	1.913632	0.286140	6.688
P16	inc0p5	del	8087	20601	0.392554	2.547422	0.502494	0.065957	7.619
P16	inc0p5	ins	21734	87986	0.247017	4.048311	1.886797	0.361555	5.219
P17	inc0p1	del	2400	114421	0.020975	47.675417	2.950080	0.152423	19.355
P17	inc0p1	ins	6367	145095	0.043882	22.788597	2.876821	0.282871	10.170
P17	inc0p3	del	7760	62835	0.123498	8.097294	1.611664	0.138742	11.616
P17	inc0p3	ins	20914	152425	0.137208	7.288180	2.922361	0.478214	6.111
P17	inc0p5	del	11517	37471	0.307358	3.253538	0.727965	0.088974	8.182
P17	inc0p5	ins	30641	160497	0.190913	5.237982	2.891903	3.614899	0.800
P18	inc0p1	del	5329	165064	0.032284	30.974667	3.506628	0.193211	18.149
P18	inc0p1	ins	14413	251820	0.057235	17.471727	3.426745	6.126412	0.559
P18	inc0p3	del	12276	82607	0.148607	6.729146	2.128058	0.131529	16.179
P18	inc0p3	ins	32605	258446	0.126158	7.926576	3.406902	6.005507	0.567
P18	inc0p5	del	16095	47978	0.335466	2.980926	0.986998	0.146111	6.755
P18	inc0p5	ins	42105	260226	0.161802	6.180406	3.507023	6.386191	0.549
P19	inc0p1	del	8096	247005	0.032777	30.509511	5.087865	0.295742	17.204
P19	inc0p1	ins	21658	396653	0.054602	18.314387	8.946519	0.728925	12.274
P19	inc0p3	del	17105	114196	0.149786	6.676177	3.178468	0.174705	18.193
P19	inc0p3	ins	45737	399671	0.114437	8.738461	9.153917	0.974576	9.393
P19	inc0p5	del	21131	71174	0.296892	3.368227	1.419814	0.176985	8.022
P19	inc0p5	ins	54924	418120	0.131359	7.612701	9.189030	1.207633	7.609
P20	inc0p1	del	754	82283	0.009163	109.128647	2.728552	0.393514	6.934
P20	inc0p1	ins	2631	84441	0.031158	32.094641	2.787628	0.582046	4.789
P20	inc0p3	del	2989	74211	0.040277	24.828036	2.648662	0.308617	8.582
P20	inc0p3	ins	10415	84796	0.122824	8.141719	2.737045	0.601279	4.552
P20	inc0p5	del	4498	69929	0.064322	15.546687	2.588641	0.349981	7.397
P20	inc0p5	ins	15898	85362	0.186242	5.369355	2.757853	0.617845	4.464
