Case	Delta	Turn	DeltaLiveNodes	LiveNodes	DeltaLiveRatio	InvDeltaLiveRatio	Full_FC_s	Inc_FC_s	Speedup
P12	inc0p1	ins	26	1742	0.014925373134328358	67.0	0.00971217	0.006105694	1.5906742132835348
P12	inc0p3	ins	290	1742	0.16647531572904709	6.006896551724138	0.010363738	0.007498742	1.3820635514596982
P12	inc0p5	ins	398	1742	0.22847301951779564	4.376884422110553	0.010641496	0.008307758	1.280910686132167
P13	inc0p1	ins	60	4226	0.01419782300047326	70.43333333333334	0.11575183	0.016150334	7.167147750628564
P13	inc0p3	ins	585	4226	0.1384287742546143	7.223931623931624	0.118403986	0.01915182	6.182388201225784
P13	inc0p5	ins	829	4226	0.19616658778987223	5.097708082026538	0.113159473	0.020802289	5.439760643648398
P14	inc0p1	ins	735	7652	0.09605331939362258	10.410884353741496	0.251643313	0.029242792	8.605310771967327
P14	inc0p3	ins	1136	7652	0.14845791949817042	6.735915492957746	0.262261062	0.031793907	8.248783705632654
P14	inc0p5	ins	1696	7652	0.2216414009409305	4.511792452830188	0.249921499	0.034322762	7.281508958981798
P15	inc0p1	ins	2620	26533	0.09874495910752648	10.127099236641222	0.590422437	0.078394091	7.531466076952151
P15	inc0p3	ins	6214	26533	0.23419892209701126	4.2698744769874475	0.585252124	0.101631536	5.758568127908645
P15	inc0p5	ins	8622	26533	0.32495383107827985	3.077360241243331	0.58371717	0.11730997	4.975853032781442
P16	inc0p1	ins	6409	70248	0.0912339141327867	10.960836323919489	1.889380701	0.177486216	10.645224984682754
P16	inc0p3	ins	15399	70248	0.21920908780321147	4.561854665887395	1.860075835	0.261408159	7.115599765958338
P16	inc0p5	ins	21734	70248	0.30938959116273773	3.2321707923069845	1.866294312	0.324789514	5.746165536612737
P17	inc0p1	ins	6367	139899	0.04551140465621627	21.97251452803518	2.852782334	0.251392277	11.347931480011217
P17	inc0p3	ins	20914	139899	0.14949356321346113	6.689251219278952	2.781039145	0.422811147	6.577497222418311
P17	inc0p5	ins	30641	139978	0.21889868407892668	4.56832348813681	2.807156858	0.547094777	5.131024780373657
P18	inc0p1	ins	14413	246881	0.0583803532876163	17.12905016304725	3.499261807	0.402953145	8.684041433651052
P18	inc0p3	ins	32605	246881	0.13206767632989172	7.571875479220979	3.513743553	0.588495483	5.970723063306843
P18	inc0p5	ins	42105	246881	0.17054775377611076	5.863460396627479	3.484465986	0.708151234	4.9205110698147845
P19	inc0p1	ins	21658	395808	0.0547184493491794	18.275371687136392	9.155654795	0.705512223	12.977315624764165
P19	inc0p3	ins	45737	395808	0.11555350068720188	8.654000043728272	9.38031164	0.900839874	10.41285128548828
P19	inc0p5	ins	54924	395808	0.13876424933300993	7.206467118199694	9.177456242	0.997178946	9.203419585635736
P20	inc0p1	ins	2631	84305	0.031208113397781862	32.04294944887875	2.551800507	0.491189131	5.195148560809665
P20	inc0p3	ins	10415	84305	0.12353952909080125	8.094575132021124	2.496885738	0.49804129	5.01341111296214
P20	inc0p5	ins	15898	84305	0.188577189965008	5.302868285318908	2.52539879	0.551465108	4.57943531397457
