Case	DeltaPct	DeltaLabel	Turn	Full_FC_s	Inc_FC_s	Speedup	GraphEdges	DeltaRuleApps	DeltaEdgeRatio
P1	0.001	inc0p1	del	0.000254	0.000118	2.149	58	0	0.000000
P1	0.001	inc0p1	ins	0.000255	0.000112	2.274	58	0	0.000000
P1	0.003	inc0p3	del	0.000252	0.000134	1.885	58	0	0.000000
P1	0.003	inc0p3	ins	0.000253	0.000106	2.397	58	0	0.000000
P1	0.005	inc0p5	del	0.000248	0.000129	1.920	58	0	0.000000
P1	0.005	inc0p5	ins	0.000251	0.000127	1.975	58	0	0.000000
P10	0.001	inc0p1	del	0.000389	0.000201	1.932	2305	34	0.014751
P10	0.001	inc0p1	ins	0.000357	0.000250	1.430	2339	34	0.014536
P10	0.003	inc0p3	del	0.000425	0.000223	1.903	1709	630	0.368637
P10	0.003	inc0p3	ins	0.000363	0.000158	2.291	2339	630	0.269346
P10	0.005	inc0p5	del	0.000375	0.000212	1.771	1421	918	0.646024
P10	0.005	inc0p5	ins	0.000360	0.000159	2.258	2339	918	0.392475
P11	0.001	inc0p1	del	0.000180	0.000087	2.064	2116	202	0.095463
P11	0.001	inc0p1	ins	0.000148	0.000077	1.920	2318	202	0.087144
P11	0.003	inc0p3	del	0.000187	0.000089	2.117	2036	282	0.138507
P11	0.003	inc0p3	ins	0.000229	0.000078	2.927	2318	282	0.121657
P11	0.005	inc0p5	del	0.000212	0.000106	1.995	1638	680	0.415140
P11	0.005	inc0p5	ins	0.000226	0.000085	2.651	2318	680	0.293356
P12	0.001	inc0p1	del	0.010274	0.011004	0.934	2267	55	0.024261
P12	0.001	inc0p1	ins	0.010267	0.097013	0.106	2322	55	0.023686
P12	0.003	inc0p3	del	0.012165	0.011792	1.032	2187	135	0.061728
P12	0.003	inc0p3	ins	0.011226	0.058382	0.192	2322	135	0.058140
P12	0.005	inc0p5	del	0.009962	0.011976	0.832	2150	172	0.080000
P12	0.005	inc0p5	ins	0.012528	0.081882	0.153	2322	172	0.074074
P13	0.001	inc0p1	del	0.267447	0.035533	7.527	4476	59	0.013181
P13	0.001	inc0p1	ins	0.268370	0.945746	0.284	4535	59	0.013010
P13	0.003	inc0p3	del	0.359309	0.030512	11.776	4055	480	0.118372
P13	0.003	inc0p3	ins	0.257883	0.873419	0.295	4535	480	0.105843
P13	0.005	inc0p5	del	0.399030	0.034449	11.583	3896	639	0.164014
P13	0.005	inc0p5	ins	0.258112	0.836115	0.309	4535	639	0.140904
P14	0.001	inc0p1	del	0.665778	0.049199	13.532	6648	102	0.015343
P14	0.001	inc0p1	ins	0.651985	1.201930	0.542	6750	102	0.015111
P14	0.003	inc0p3	del	0.763145	0.050297	15.173	6027	723	0.119960
P14	0.003	inc0p3	ins	0.660630	1.141997	0.578	6750	723	0.107111
P14	0.005	inc0p5	del	0.831081	0.047896	17.352	5671	1079	0.190266
P14	0.005	inc0p5	ins	0.662870	1.034505	0.641	6750	1079	0.159852
P15	0.001	inc0p1	del	2.651281	0.146815	18.059	13320	783	0.058784
P15	0.001	inc0p1	ins	2.325992	1.837387	1.266	14103	783	0.055520
P15	0.003	inc0p3	del	2.865685	0.141425	20.263	12255	1848	0.150796
P15	0.003	inc0p3	ins	2.423715	1.774837	1.366	14103	1848	0.131036
P15	0.005	inc0p5	del	1.484332	0.146595	10.125	10324	3779	0.366040
P15	0.005	inc0p5	ins	2.272768	1.760211	1.291	14103	3779	0.267957
P16	0.001	inc0p1	del	4.036239	0.372066	10.848	22070	2408	0.109107
P16	0.001	inc0p1	ins	4.078069	1.816117	2.245	24478	2408	0.098374
P16	0.003	inc0p3	del	2.675660	0.331292	8.076	18120	6358	0.350883
P16	0.003	inc0p3	ins	4.308239	4.255594	1.012	24478	6358	0.259743
P16	0.005	inc0p5	del	3.333073	0.308181	10.815	15168	9310	0.613792
P16	0.005	inc0p5	ins	4.259687	4.195300	1.015	24478	9310	0.380342
P17	0.001	inc0p1	del	4.688549	0.748601	6.263	30769	2573	0.083623
P17	0.001	inc0p1	ins	5.389894	7.078437	0.761	33342	2573	0.077170
P17	0.003	inc0p3	del	4.000317	0.557370	7.177	23515	9827	0.417903
P17	0.003	inc0p3	ins	5.371521	6.817593	0.788	33342	9827	0.294733
P17	0.005	inc0p5	del	4.458514	0.532221	8.377	21780	11562	0.530854
P17	0.005	inc0p5	ins	5.204573	7.699000	0.676	33342	11562	0.346770
P18	0.001	inc0p1	del	5.298807	1.189584	4.454	35174	7027	0.199778
P18	0.001	inc0p1	ins	5.930509	3.373872	1.758	42201	7027	0.166513
P18	0.003	inc0p3	del	4.531097	0.936583	4.838	28749	13452	0.467912
P18	0.003	inc0p3	ins	5.770136	3.579807	1.612	42201	13452	0.318760
P18	0.005	inc0p5	del	4.322298	0.917838	4.709	25987	16214	0.623927
P18	0.005	inc0p5	ins	6.086155	3.916347	1.554	42201	16214	0.384209
P19	0.001	inc0p1	del	5.797388	1.872366	3.096	46446	6839	0.147246
P19	0.001	inc0p1	ins	7.237998	3.491133	2.073	53285	6839	0.128348
P19	0.003	inc0p3	del	4.640636	1.616932	2.870	36210	17075	0.471555
P19	0.003	inc0p3	ins	7.962389	4.092619	1.946	53285	17075	0.320447
P19	0.005	inc0p5	del	4.341966	1.225842	3.542	28518	24767	0.868469
P19	0.005	inc0p5	ins	7.705275	4.199733	1.835	53285	24767	0.464802
