Case	DeltaPct	DeltaLabel	Turn	Full_SEM_s	Inc_SEM_s	GraphNodes	GraphEdges	DeltaInsertNodes	DeltaInsertEdges	DeltaDeleteNodes	DeltaDeleteEdges	ApplyDelTuples	ApplyDelRuleApps	ApplyDelFacts	ApplyInsTuples	ApplyInsRuleApps	ApplyInsFacts
P1	0.001	inc0p1	del	0.003499	0.019195	126	58	0	0	1	0	0	0	1	0	0	0
P1	0.001	inc0p1	ins	0.004370	0.005345	127	58	1	0	0	0	0	0	0	0	0	1
P1	0.003	inc0p3	del	0.002741	0.018330	126	58	0	0	1	0	0	0	1	0	0	0
P1	0.003	inc0p3	ins	0.004447	0.005228	127	58	1	0	0	0	0	0	0	0	0	1
P1	0.005	inc0p5	del	0.002707	0.018193	126	58	0	0	1	0	0	0	1	0	0	0
P1	0.005	inc0p5	ins	0.004335	0.005226	127	58	1	0	0	0	0	0	0	0	0	1
P10	0.001	inc0p1	del	0.026892	0.008153	9796	2305	0	0	39	34	34	34	5	0	0	0
P10	0.001	inc0p1	ins	0.023942	0.006722	9835	2339	39	34	0	0	0	0	0	34	34	5
P10	0.003	inc0p3	del	0.023359	0.010016	9188	1709	0	0	647	630	630	630	17	0	0	0
P10	0.003	inc0p3	ins	0.024779	0.010266	9835	2339	647	630	0	0	0	0	0	630	630	17
P10	0.005	inc0p5	del	0.021269	0.015232	8889	1421	0	0	946	918	918	918	28	0	0	0
P10	0.005	inc0p5	ins	0.026961	0.010490	9835	2339	946	918	0	0	0	0	0	918	918	28
P11	0.001	inc0p1	del	0.025699	0.006761	9588	2116	0	0	207	202	202	202	5	0	0	0
P11	0.001	inc0p1	ins	0.027443	0.006075	9795	2318	207	202	0	0	0	0	0	202	202	5
P11	0.003	inc0p3	del	0.022899	0.007427	9496	2036	0	0	299	282	282	282	17	0	0	0
P11	0.003	inc0p3	ins	0.026049	0.006829	9795	2318	299	282	0	0	0	0	0	282	282	17
P11	0.005	inc0p5	del	0.023558	0.009509	9087	1638	0	0	708	680	680	680	28	0	0	0
P11	0.005	inc0p5	ins	0.030199	0.008085	9795	2318	708	680	0	0	0	0	0	680	680	28
P12	0.001	inc0p1	del	0.042017	0.009517	10022	2267	0	0	60	55	55	55	5	0	0	0
P12	0.001	inc0p1	ins	0.040896	0.007936	10082	2322	60	55	0	0	0	0	0	55	55	5
P12	0.003	inc0p3	del	0.041654	0.014235	9931	2187	0	0	151	135	135	135	17	0	0	0
P12	0.003	inc0p3	ins	0.044834	0.010652	10082	2322	151	135	0	0	0	0	0	135	135	17
