Case	DeltaPct	DeltaLabel	Turn	Full_SEM_s	Inc_SEM_s	Speedup	GraphEdges	DeltaRuleApps	DeltaEdgeRatio
P1	0.001	inc0p1	del	0.003499	0.019195	0.182	58	0	0.000000
P1	0.001	inc0p1	ins	0.004370	0.005345	0.817	58	0	0.000000
P1	0.003	inc0p3	del	0.002741	0.018330	0.150	58	0	0.000000
P1	0.003	inc0p3	ins	0.004447	0.005228	0.851	58	0	0.000000
P1	0.005	inc0p5	del	0.002707	0.018193	0.149	58	0	0.000000
P1	0.005	inc0p5	ins	0.004335	0.005226	0.830	58	0	0.000000
P10	0.001	inc0p1	del	0.026892	0.008153	3.298	2305	34	0.014751
P10	0.001	inc0p1	ins	0.023942	0.006722	3.562	2339	34	0.014536
P10	0.003	inc0p3	del	0.023359	0.010016	2.332	1709	630	0.368637
P10	0.003	inc0p3	ins	0.024779	0.010266	2.414	2339	630	0.269346
P10	0.005	inc0p5	del	0.021269	0.015232	1.396	1421	918	0.646024
P10	0.005	inc0p5	ins	0.026961	0.010490	2.570	2339	918	0.392475
P11	0.001	inc0p1	del	0.025699	0.006761	3.801	2116	202	0.095463
P11	0.001	inc0p1	ins	0.027443	0.006075	4.517	2318	202	0.087144
P11	0.003	inc0p3	del	0.022899	0.007427	3.083	2036	282	0.138507
P11	0.003	inc0p3	ins	0.026049	0.006829	3.815	2318	282	0.121657
P11	0.005	inc0p5	del	0.023558	0.009509	2.477	1638	680	0.415140
P11	0.005	inc0p5	ins	0.030199	0.008085	3.735	2318	680	0.293356
P12	0.001	inc0p1	del	0.042017	0.009517	4.415	2267	55	0.024261
P12	0.001	inc0p1	ins	0.040896	0.007936	5.153	2322	55	0.023686
P12	0.003	inc0p3	del	0.041654	0.014235	2.926	2187	135	0.061728
P12	0.003	inc0p3	ins	0.044834	0.010652	4.209	2322	135	0.058140
P12	0.005	inc0p5	del	0.043340	0.014885	2.912	2150	172	0.080000
P12	0.005	inc0p5	ins	0.044570	0.011421	3.902	2322	172	0.074074
P13	0.001	inc0p1	del	0.080504	0.018651	4.316	4476	59	0.013181
P13	0.001	inc0p1	ins	0.078645	0.018921	4.157	4535	59	0.013010
P13	0.003	inc0p3	del	0.089897	0.028930	3.107	4055	480	0.118372
P13	0.003	inc0p3	ins	0.083806	0.019227	4.359	4535	480	0.105843
P13	0.005	inc0p5	del	0.076842	0.039957	1.923	3896	639	0.164014
P13	0.005	inc0p5	ins	0.086775	0.021536	4.029	4535	639	0.140904
P14	0.001	inc0p1	del	0.118367	0.034401	3.441	6648	102	0.015343
P14	0.001	inc0p1	ins	0.121187	0.026199	4.626	6750	102	0.015111
P14	0.003	inc0p3	del	0.115925	0.050864	2.279	6027	723	0.119960
P14	0.003	inc0p3	ins	0.124986	0.035668	3.504	6750	723	0.107111
P14	0.005	inc0p5	del	0.112427	0.063756	1.763	5671	1079	0.190266
P14	0.005	inc0p5	ins	0.126850	0.042897	2.957	6750	1079	0.159852
P15	0.001	inc0p1	del	0.282987	0.062644	4.517	13320	783	0.058784
P15	0.001	inc0p1	ins	0.303107	0.072639	4.173	14103	783	0.055520
P15	0.003	inc0p3	del	0.271437	0.089140	3.045	12255	1848	0.150796
P15	0.003	inc0p3	ins	0.292992	0.075532	3.879	14103	1848	0.131036
P15	0.005	inc0p5	del	0.257257	0.122155	2.106	10324	3779	0.366040
P15	0.005	inc0p5	ins	0.271391	0.092267	2.941	14103	3779	0.267957
P16	0.001	inc0p1	del	0.491541	0.111369	4.414	22070	2408	0.109107
P16	0.001	inc0p1	ins	0.461909	0.118450	3.900	24478	2408	0.098374
P16	0.003	inc0p3	del	0.457816	0.165882	2.760	18120	6358	0.350883
P16	0.003	inc0p3	ins	0.496812	0.133828	3.712	24478	6358	0.259743
P16	0.005	inc0p5	del	0.453218	0.208012	2.179	15168	9310	0.613792
P16	0.005	inc0p5	ins	0.507345	0.148637	3.413	24478	9310	0.380342
P17	0.001	inc0p1	del	0.632342	0.149352	4.234	30769	2573	0.083623
P17	0.001	inc0p1	ins	0.705827	0.142594	4.950	33342	2573	0.077170
P17	0.003	inc0p3	del	0.617144	0.251547	2.453	23515	9827	0.417903
P17	0.003	inc0p3	ins	0.687188	0.186718	3.680	33342	9827	0.294733
P17	0.005	inc0p5	del	0.604730	0.274166	2.206	21780	11562	0.530854
P17	0.005	inc0p5	ins	0.680678	0.213765	3.184	33342	11562	0.346770
P18	0.001	inc0p1	del	0.858821	0.223300	3.846	35174	7027	0.199778
P18	0.001	inc0p1	ins	0.980042	0.219555	4.464	42201	7027	0.166513
P18	0.003	inc0p3	del	0.817493	0.318356	2.568	28749	13452	0.467912
P18	0.003	inc0p3	ins	0.930080	0.257709	3.609	42201	13452	0.318760
P18	0.005	inc0p5	del	0.841086	0.407771	2.063	25987	16214	0.623927
P18	0.005	inc0p5	ins	0.987619	0.280935	3.515	42201	16214	0.384209
P19	0.001	inc0p1	del	1.147607	0.308567	3.719	46446	6839	0.147246
P19	0.001	inc0p1	ins	1.271270	0.262435	4.844	53285	6839	0.128348
P19	0.003	inc0p3	del	0.974418	0.432969	2.251	36210	17075	0.471555
P19	0.003	inc0p3	ins	1.111074	0.366844	3.029	53285	17075	0.320447
P19	0.005	inc0p5	del	1.048812	0.552158	1.899	28518	24767	0.868469
P19	0.005	inc0p5	ins	1.229155	0.413327	2.974	53285	24767	0.464802
P20	0.001	inc0p1	del	0.947809	0.211445	4.483	43337	1081	0.024944
P20	0.001	inc0p1	ins	0.920909	0.212245	4.339	44418	1081	0.024337
P20	0.003	inc0p3	del	0.966780	0.271655	3.559	41967	2451	0.058403
P20	0.003	inc0p3	ins	1.009965	0.228275	4.424	44418	2451	0.055180
P20	0.005	inc0p5	del	0.975801	0.367136	2.658	40646	3772	0.092801
P20	0.005	inc0p5	ins	0.996777	0.256179	3.891	44418	3772	0.084921
P3	0.001	inc0p1	del	0.004346	0.000744	5.840	58	0	0.000000
P3	0.001	inc0p1	ins	0.004520	0.001027	4.402	58	0	0.000000
P3	0.003	inc0p3	del	0.004280	0.001232	3.474	58	0	0.000000
P3	0.003	inc0p3	ins	0.004435	0.001219	3.639	58	0	0.000000
P3	0.005	inc0p5	del	0.004341	0.001203	3.609	58	0	0.000000
P3	0.005	inc0p5	ins	0.004375	0.000942	4.644	58	0	0.000000
P4	0.001	inc0p1	del	0.000357	0.001277	0.280	17	2	0.117647
P4	0.001	inc0p1	ins	0.000325	0.001099	0.296	19	2	0.105263
P4	0.003	inc0p3	del	0.000321	0.001219	0.263	17	2	0.117647
P4	0.003	inc0p3	ins	0.001181	0.000700	1.686	19	2	0.105263
P4	0.005	inc0p5	del	0.000301	0.000934	0.322	17	2	0.117647
P4	0.005	inc0p5	ins	0.000334	0.001671	0.200	19	2	0.105263
P5	0.001	inc0p1	del	0.000298	0.001160	0.257	30	3	0.100000
P5	0.001	inc0p1	ins	0.000307	0.001603	0.192	33	3	0.090909
P5	0.003	inc0p3	del	0.000293	0.004857	0.060	30	3	0.100000
P5	0.003	inc0p3	ins	0.000315	0.001274	0.247	33	3	0.090909
P5	0.005	inc0p5	del	0.000357	0.001176	0.303	30	3	0.100000
P5	0.005	inc0p5	ins	0.000440	0.001853	0.238	33	3	0.090909
P6	0.001	inc0p1	del	0.000732	0.002429	0.301	59	5	0.084746
P6	0.001	inc0p1	ins	0.000739	0.002886	0.256	64	5	0.078125
P6	0.003	inc0p3	del	0.000702	0.002904	0.242	59	5	0.084746
P6	0.003	inc0p3	ins	0.000713	0.002378	0.300	64	5	0.078125
P6	0.005	inc0p5	del	0.000723	0.002779	0.260	59	5	0.084746
P6	0.005	inc0p5	ins	0.000702	0.002365	0.297	64	5	0.078125
P7	0.001	inc0p1	del	0.002028	0.002941	0.690	183	0	0.000000
P7	0.001	inc0p1	ins	0.002058	0.002737	0.752	183	0	0.000000
P7	0.003	inc0p3	del	0.002049	0.002665	0.769	183	0	0.000000
P7	0.003	inc0p3	ins	0.001833	0.002393	0.766	183	0	0.000000
P7	0.005	inc0p5	del	0.002359	0.003175	0.743	177	6	0.033898
P7	0.005	inc0p5	ins	0.001876	0.003146	0.596	183	6	0.032787
P8	0.001	inc0p1	del	0.004400	0.002883	1.526	282	15	0.053191
P8	0.001	inc0p1	ins	0.003985	0.002871	1.388	297	15	0.050505
P8	0.003	inc0p3	del	0.004048	0.002656	1.524	282	15	0.053191
P8	0.003	inc0p3	ins	0.003648	0.003024	1.206	297	15	0.050505
