Case	Delta	Turn	Full_SEM_s	Inc_SEM_s	Speedup	DeltaRuleApps	GraphEdges	DeltaEdgeRatio
P1	inc0p1	del	0.004462	0.001337	3.337	0	58	0.000000
P1	inc0p1	ins	0.004459	0.000877	5.083	0	58	0.000000
P1	inc0p3	del	0.004789	0.001294	3.702	0	58	0.000000
P1	inc0p3	ins	0.004914	0.001761	2.790	0	58	0.000000
P1	inc0p5	del	0.004895	0.001850	2.646	0	58	0.000000
P1	inc0p5	ins	0.004703	0.002201	2.137	0	58	0.000000
P3	inc0p1	del	0.004446	0.000877	5.071	0	58	0.000000
P3	inc0p1	ins	0.004410	0.000889	4.961	0	58	0.000000
P3	inc0p3	del	0.004418	0.001602	2.758	0	58	0.000000
P3	inc0p3	ins	0.004350	0.000746	5.833	0	58	0.000000
P3	inc0p5	del	0.004419	0.000926	4.773	0	58	0.000000
P3	inc0p5	ins	0.004451	0.000925	4.811	0	58	0.000000
P4	inc0p1	del	0.000266	0.000909	0.293	0	19	0.000000
P4	inc0p1	ins	0.000301	0.001761	0.171	0	19	0.000000
P4	inc0p3	del	0.000248	0.000792	0.313	0	19	0.000000
P4	inc0p3	ins	0.000236	0.001131	0.208	0	19	0.000000
P4	inc0p5	del	0.000253	0.002054	0.123	0	19	0.000000
P4	inc0p5	ins	0.000229	0.000441	0.518	0	19	0.000000
P5	inc0p1	del	0.000268	0.001177	0.228	15	18	0.833333
P5	inc0p1	ins	0.000318	0.001045	0.304	15	33	0.454545
P5	inc0p3	del	0.000242	0.000621	0.390	15	18	0.833333
P5	inc0p3	ins	0.000304	0.002492	0.122	15	33	0.454545
P5	inc0p5	del	0.000253	0.000803	0.315	15	18	0.833333
P5	inc0p5	ins	0.000318	0.002410	0.132	15	33	0.454545
P6	inc0p1	del	0.000451	0.001169	0.386	1	60	0.016667
P6	inc0p1	ins	0.000409	0.001046	0.391	1	61	0.016393
P6	inc0p3	del	0.000465	0.002456	0.189	1	60	0.016667
P6	inc0p3	ins	0.000420	0.002647	0.159	1	61	0.016393
P6	inc0p5	del	0.000468	0.001437	0.326	1	60	0.016667
P6	inc0p5	ins	0.000529	0.002191	0.241	1	61	0.016393
P7	inc0p1	del	0.001030	0.001997	0.516	4	167	0.023952
P7	inc0p1	ins	0.000996	0.001919	0.519	4	171	0.023392
P7	inc0p3	del	0.001064	0.002429	0.438	4	167	0.023952
P7	inc0p3	ins	0.001063	0.001320	0.805	4	171	0.023392
P7	inc0p5	del	0.001088	0.001371	0.794	36	135	0.266667
P7	inc0p5	ins	0.001249	0.001967	0.635	36	171	0.210526
P8	inc0p1	del	0.001715	0.001457	1.177	0	287	0.000000
P8	inc0p1	ins	0.001491	0.001040	1.433	0	287	0.000000
P8	inc0p3	del	0.001634	0.001795	0.910	0	287	0.000000
P8	inc0p3	ins	0.001525	0.001229	1.242	0	287	0.000000
P8	inc0p5	del	0.001611	0.002366	0.681	15	272	0.055147
P8	inc0p5	ins	0.001529	0.001306	1.171	15	287	0.052265
P9	inc0p1	del	0.001257	0.001286	0.978	7	202	0.034653
P9	inc0p1	ins	0.001407	0.001156	1.217	7	209	0.033493
P9	inc0p3	del	0.001222	0.002341	0.522	7	202	0.034653
P9	inc0p3	ins	0.001107	0.001924	0.575	7	209	0.033493
P9	inc0p5	del	0.001198	0.001289	0.929	10	199	0.050251
P9	inc0p5	ins	0.001103	0.002088	0.529	10	209	0.047847
P10	inc0p1	del	0.017382	0.003102	5.603	143	2188	0.065356
P10	inc0p1	ins	0.016505	0.008052	2.050	143	2331	0.061347
P10	inc0p3	del	0.014270	0.004797	2.975	494	1837	0.268917
P10	inc0p3	ins	0.016878	0.006660	2.534	494	2331	0.211926
P10	inc0p5	del	0.013707	0.006738	2.034	710	1621	0.438001
P10	inc0p5	ins	0.016625	0.005310	3.131	710	2331	0.304590
P11	inc0p1	del	0.014945	0.009417	1.587	315	2003	0.157264
P11	inc0p1	ins	0.016825	0.003209	5.244	315	2318	0.135893
P11	inc0p3	del	0.013123	0.004124	3.182	559	1759	0.317794
P11	inc0p3	ins	0.015848	0.006339	2.500	559	2318	0.241156
P11	inc0p5	del	0.014515	0.005800	2.503	1082	1236	0.875405
P11	inc0p5	ins	0.019501	0.005728	3.405	1082	2318	0.466782
P12	inc0p1	del	0.014929	0.003384	4.411	65	2250	0.028889
P12	inc0p1	ins	0.012602	0.003251	3.876	65	2315	0.028078
P12	inc0p3	del	0.013814	0.003490	3.958	111	2204	0.050363
P12	inc0p3	ins	0.013780	0.003236	4.258	111	2315	0.047948
P12	inc0p5	del	0.013045	0.003690	3.535	153	2162	0.070768
P12	inc0p5	ins	0.013609	0.002218	6.136	153	2315	0.066091
P13	inc0p1	del	0.029434	0.004762	6.182	113	4417	0.025583
P13	inc0p1	ins	0.024921	0.004537	5.493	113	4530	0.024945
P13	inc0p3	del	0.026197	0.004828	5.427	261	4269	0.061138
P13	inc0p3	ins	0.028873	0.005028	5.742	261	4530	0.057616
P13	inc0p5	del	0.021999	0.005810	3.786	579	3951	0.146545
P13	inc0p5	ins	0.027698	0.005834	4.748	579	4530	0.127815
P14	inc0p1	del	0.040013	0.004783	8.366	168	6577	0.025544
P14	inc0p1	ins	0.044723	0.004882	9.161	168	6745	0.024907
P14	inc0p3	del	0.040072	0.005703	7.026	419	6326	0.066235
P14	inc0p3	ins	0.041167	0.005614	7.332	419	6745	0.062120
P14	inc0p5	del	0.041958	0.007684	5.460	719	6026	0.119316
P14	inc0p5	ins	0.042660	0.007388	5.775	719	6745	0.106597
P15	inc0p1	del	0.108737	0.018486	5.882	887	13211	0.067141
P15	inc0p1	ins	0.110210	0.034138	3.228	887	14098	0.062917
P15	inc0p3	del	0.095775	0.028815	3.324	2460	11638	0.211377
P15	inc0p3	ins	0.111738	0.025520	4.379	2460	14098	0.174493
P15	inc0p5	del	0.075237	0.034535	2.179	3027	11071	0.273417
P15	inc0p5	ins	0.097734	0.027915	3.501	3027	14098	0.214711
P16	inc0p1	del	0.163779	0.030880	5.304	1968	22505	0.087447
P16	inc0p1	ins	0.196405	0.037250	5.273	1968	24473	0.080415
P16	inc0p3	del	0.162215	0.060967	2.661	6200	18273	0.339298
P16	inc0p3	ins	0.201602	0.065006	3.101	6200	24473	0.253340
P16	inc0p5	del	0.137573	0.059488	2.313	9479	14994	0.632186
P16	inc0p5	ins	0.181818	0.059098	3.077	9479	24473	0.387325
P17	inc0p1	del	0.281173	0.049873	5.638	3415	29922	0.114130
P17	inc0p1	ins	0.327089	0.064152	5.099	3415	33337	0.102439
P17	inc0p3	del	0.237279	0.062241	3.812	7415	25922	0.286050
P17	inc0p3	ins	0.328813	0.067742	4.854	7415	33337	0.222426
P17	inc0p5	del	0.206403	0.085284	2.420	11290	22047	0.512088
P17	inc0p5	ins	0.325402	0.080864	4.024	11290	33337	0.338663
P18	inc0p1	del	0.359826	0.075882	4.742	5321	36876	0.144294
